t,value
1621428117,70675968
1621428147,70675968
1621428177,70675968
1621428207,70675968
1621428237,70675968
1621428267,70675968
1621428297,70675968
1621428327,70675968
1621428357,70675968
1621428387,70675968
1621428417,70675968
1621428447,70675968
1621428477,70675968
1621428507,70675968
1621428537,70675968
1621428567,70675968
1621428597,70675968
1621428627,70675968
1621428657,70675968
1621428687,70675968
1621428717,70675968
1621428747,70675968
1621428777,70675968
1621428807,70675968
1621428837,70675968
1621428867,70675968
1621428897,70675968
1621428927,70675968
1621428957,70675968
1621428987,70675968
1621429017,70675968
1621429047,70675968
1621429077,70675968
1621429107,70675968
1621429137,70675968
1621429167,70675968
1621429197,70675968
1621429227,70675968
1621429257,70675968
1621429287,70675968
1621429317,70675968
1621429347,70675968
1621429377,70675968
1621429407,70675968
1621429437,70675968
1621429467,70675968
1621429497,70675968
1621429527,70675968
1621429557,70675968
1621429587,70675968
1621429617,70675968
1621429647,70675968
1621429677,70675968
1621429707,70675968
1621429737,70675968
1621429767,70675968
1621429797,70675968
1621429827,70675968
1621429857,70675968
1621429887,70675968
1621429917,70675968
1621429947,70675968
1621429977,70675968
1621430007,70675968
1621430037,70675968
1621430067,70675968
1621430097,70675968
1621430127,70675968
1621430157,70675968
1621430187,70675968
1621430217,70675968
1621430247,70675968
1621430277,70675968
1621430307,70675968
1621430337,70675968
1621430367,70675968
1621430397,70675968
1621430427,70675968
1621430457,70675968
1621430487,70675968
1621430517,70675968
1621430547,70675968
1621430577,70675968
1621430607,70675968
1621430637,70675968
1621430667,70675968
1621430697,70675968
1621430727,70675968
1621430757,70675968
1621430787,70675968
1621430817,70675968
1621430847,70675968
1621430877,70675968
1621430907,70675968
1621430937,70675968
1621430967,70675968
1621430997,70675968
1621431027,70675968
1621431057,70675968
1621431087,70675968
1621431117,70675968
1621431147,70675968
1621431177,70675968
1621431207,70675968
1621431237,70675968
1621431267,70675968
1621431297,70675968
1621431327,70675968
1621431357,70675968
1621431387,70675968
1621431417,70675968
1621431447,70675968
1621431477,70675968
1621431507,70675968
1621431537,70675968
1621431567,70675968
1621431597,70675968
1621431627,70675968
1621431657,70675968
1621431687,70675968
1621431717,70675968
1621431747,70675968
1621431777,70675968
1621431807,70675968
1621431837,70675968
1621431867,70675968
1621431897,70675968
1621431927,70675968
1621431957,70675968
1621431987,70675968
1621432017,70675968
1621432047,70675968
1621432077,70675968
1621432107,70675968
1621432137,70675968
1621432167,70675968
1621432197,70675968
1621432227,70675968
1621432257,70675968
1621432287,70675968
1621432317,70675968
1621432347,70675968
1621432377,70675968
1621432407,70675968
1621432437,70675968
1621432467,70675968
1621432497,70675968
1621432527,70675968
1621432557,70675968
1621432587,70675968
1621432617,70675968
1621432647,70675968
1621432677,70675968
