t,value
1621428117,1966214
1621428147,1966149
1621428177,1966149
1621428207,1966149
1621428237,1966149
1621428267,1966149
1621428297,1966149
1621428327,1966149
1621428357,1966149
1621428387,1966149
1621428417,1966149
1621428447,1966149
1621428477,1966149
1621428507,1966149
1621428537,1966149
1621428567,1966149
1621428597,1966149
1621428627,1966149
1621428657,1966149
1621428687,1966149
1621428717,1966149
1621428747,1966149
1621428777,1966149
1621428807,1966149
1621428837,1966149
1621428867,1966149
1621428897,1966149
1621428927,1966149
1621428957,1966149
1621428987,1966149
1621429017,1966149
1621429047,1966149
1621429077,1966149
1621429107,1966149
1621429137,1966149
1621429167,1966149
1621429197,1966149
1621429227,1966149
1621429257,1966149
1621429287,1966149
1621429317,1966149
1621429347,1966149
1621429377,1966149
1621429407,1966149
1621429437,1966149
1621429467,1966149
1621429497,1966149
1621429527,1966149
1621429557,1966149
1621429587,1966149
1621429617,1966149
1621429647,1966149
1621429677,1966149
1621429707,1966149
1621429737,1966149
1621429767,1966149
1621429797,1966149
1621429827,1966149
1621429857,1966149
1621429887,1966149
1621429917,1966149
1621429947,1966149
1621429977,1966149
1621430007,1966149
1621430037,1966149
1621430067,1966149
1621430097,1966149
1621430127,1966149
1621430157,1966149
1621430187,1966149
1621430217,1966149
1621430247,1966149
1621430277,1966149
1621430307,1966149
1621430337,1966149
1621430367,1966149
1621430397,1966149
1621430427,1966149
1621430457,1966149
1621430487,1966149
1621430517,1966149
1621430547,1966149
1621430577,1966149
1621430607,1966149
1621430637,1966149
1621430667,1966149
1621430697,1966149
1621430727,1966149
1621430757,1966149
1621430787,1966149
1621430817,1966149
1621430847,1966149
1621430877,1966149
1621430907,1966149
1621430937,1966149
1621430967,1966149
1621430997,1966149
1621431027,1966149
1621431057,1966149
1621431087,1966149
1621431117,1966149
1621431147,1966149
1621431177,1966149
1621431207,1966149
1621431237,1966149
1621431267,1966149
1621431297,1966149
1621431327,1966149
1621431357,1966149
1621431387,1966149
1621431417,1966149
1621431447,1966149
1621431477,1966149
1621431507,1966149
1621431537,1966149
1621431567,1966149
1621431597,1966149
1621431627,1966149
1621431657,1966149
1621431687,1966149
1621431717,1966149
1621431747,1966149
1621431777,1966149
1621431807,1966149
1621431837,1966149
1621431867,1966149
1621431897,1966149
1621431927,1966149
1621431957,1966149
1621431987,1966149
1621432017,1966149
1621432047,1966149
1621432077,1966149
1621432107,1966149
1621432137,1966149
1621432167,1966149
1621432197,1966149
1621432227,1966149
1621432257,1966149
1621432287,1966149
1621432317,1966149
1621432347,1966149
1621432377,1966149
1621432407,1966149
1621432437,1966149
1621432467,1966149
1621432497,1966149
1621432527,1966149
1621432557,1966149
1621432587,1966149
1621432617,1966149
1621432647,1966149
1621432677,1966149
