t,value
1621428117,12582912
1621428147,8388608
1621428177,16777216
1621428207,8388608
1621428237,18874368
1621428267,6291456
1621428297,16777216
1621428327,31457280
1621428357,12582912
1621428387,29360128
1621428417,6291456
1621428447,29360128
1621428477,4194304
1621428507,16777216
1621428537,31457280
1621428567,10485760
1621428597,23068672
1621428627,37748736
1621428657,8388608
1621428687,20971520
1621428717,35651584
1621428747,10485760
1621428777,23068672
1621428807,37748736
1621428837,8388608
1621428867,23068672
1621428897,35651584
1621428927,10485760
1621428957,23068672
1621428987,35651584
1621429017,10485760
1621429047,25165824
1621429077,37748736
1621429107,10485760
1621429137,23068672
1621429167,37748736
1621429197,8388608
1621429227,25165824
1621429257,6291456
1621429287,20971520
1621429317,33554432
1621429347,6291456
1621429377,16777216
1621429407,31457280
1621429437,6291456
1621429467,20971520
1621429497,31457280
1621429527,8388608
1621429557,20971520
1621429587,33554432
1621429617,8388608
1621429647,23068672
1621429677,37748736
1621429707,10485760
1621429737,23068672
1621429767,0
1621429797,12582912
1621429827,29360128
1621429857,0
1621429887,14680064
1621429917,27262976
1621429947,2097152
1621429977,16777216
1621430007,29360128
1621430037,4194304
1621430067,18874368
1621430097,31457280
1621430127,2097152
1621430157,14680064
1621430187,29360128
1621430217,41943040
1621430247,12582912
1621430277,25165824
1621430307,39845888
1621430337,10485760
1621430367,25165824
1621430397,35651584
1621430427,10485760
1621430457,23068672
1621430487,2097152
1621430517,10485760
1621430547,27262976
1621430577,37748736
1621430607,8388608
1621430637,20971520
1621430667,35651584
1621430697,8388608
1621430727,23068672
1621430757,35651584
1621430787,8388608
1621430817,23068672
1621430847,37748736
1621430877,8388608
1621430907,23068672
1621430937,33554432
1621430967,10485760
1621430997,20971520
1621431027,35651584
1621431057,4194304
1621431087,18874368
1621431117,31457280
1621431147,0
1621431177,14680064
1621431207,33554432
1621431237,41943040
1621431267,8388608
1621431297,18874368
1621431327,33554432
1621431357,0
1621431387,14680064
1621431417,27262976
1621431447,41943040
1621431477,6291456
1621431507,20971520
1621431537,33554432
1621431567,2097152
1621431597,14680064
1621431627,29360128
1621431657,41943040
1621431687,8388608
1621431717,23068672
1621431747,39845888
1621431777,2097152
1621431807,16777216
1621431837,29360128
1621431867,44040192
1621431897,6291456
1621431927,20971520
1621431957,33554432
1621431987,2097152
1621432017,14680064
1621432047,27262976
1621432077,39845888
1621432107,10485760
1621432137,20971520
1621432167,35651584
1621432197,2097152
1621432227,14680064
1621432257,27262976
1621432287,41943040
1621432317,8388608
1621432347,23068672
1621432377,37748736
1621432407,4194304
1621432437,16777216
1621432467,31457280
1621432497,44040192
1621432527,10485760
1621432557,23068672
1621432587,37748736
1621432617,2097152
1621432647,16777216
1621432677,31457280
