t,value
1621428117,56265216
1621428147,62446080
1621428177,62446080
1621428207,65402368
1621428237,65402368
1621428267,65402368
1621428297,65402368
1621428327,65402368
1621428357,65402368
1621428387,65402368
1621428417,65402368
1621428447,65402368
1621428477,65402368
1621428507,65402368
1621428537,65402368
1621428567,65402368
1621428597,65402368
1621428627,65402368
1621428657,65402368
1621428687,65402368
1621428717,65402368
1621428747,65402368
1621428777,65402368
1621428807,65402368
1621428837,65402368
1621428867,65402368
1621428897,65402368
1621428927,65402368
1621428957,65402368
1621428987,65402368
1621429017,65402368
1621429047,65402368
1621429077,65402368
1621429107,65402368
1621429137,65402368
1621429167,65402368
1621429197,65402368
1621429227,65402368
1621429257,65402368
1621429287,65402368
1621429317,65402368
1621429347,65631232
1621429377,65631232
1621429407,65631232
1621429437,66721280
1621429467,66721280
1621429497,66721280
1621429527,66721280
1621429557,66721280
1621429587,66721280
1621429617,66721280
1621429647,66721280
1621429677,66721280
1621429707,66721280
1621429737,66721280
1621429767,66721280
1621429797,66721280
1621429827,66721280
1621429857,66949120
1621429887,66949120
1621429917,66949120
1621429947,67136512
1621429977,67136512
1621430007,67136512
1621430037,67530752
1621430067,67530752
1621430097,67530752
1621430127,67714560
1621430157,67714560
1621430187,67714560
1621430217,67714560
1621430247,67899392
1621430277,67899392
1621430307,67899392
1621430337,68082688
1621430367,68082688
1621430397,68082688
1621430427,68272128
1621430457,68272128
1621430487,68454400
1621430517,68454400
1621430547,68454400
1621430577,68454400
1621430607,68642816
1621430637,68642816
1621430667,68642816
1621430697,68830208
1621430727,68830208
1621430757,68830208
1621430787,69040128
1621430817,69040128
1621430847,69040128
1621430877,69211136
1621430907,69211136
1621430937,69211136
1621430967,69223936
1621430997,69223936
1621431027,69223936
1621431057,69234688
1621431087,69234688
1621431117,69234688
1621431147,69247488
1621431177,69247488
1621431207,69247488
1621431237,69247488
1621431267,69252096
1621431297,69252096
1621431327,69252096
1621431357,69258752
1621431387,69258752
1621431417,69258752
1621431447,69258752
1621431477,69267456
1621431507,69267456
1621431537,69267456
1621431567,69272064
1621431597,69272064
1621431627,69272064
1621431657,69272064
1621431687,69286912
1621431717,69286912
1621431747,69286912
1621431777,69297664
1621431807,69297664
1621431837,69297664
1621431867,69297664
1621431897,69343232
1621431927,69343232
1621431957,69343232
1621431987,69353984
1621432017,69353984
1621432047,69353984
1621432077,69353984
1621432107,69369344
1621432137,69369344
1621432167,69369344
1621432197,69380096
1621432227,69380096
1621432257,69380096
1621432287,69380096
1621432317,69390848
1621432347,69390848
1621432377,69390848
1621432407,69403648
1621432437,69403648
1621432467,69403648
1621432497,69403648
1621432527,69410304
1621432557,69410304
1621432587,69410304
1621432617,69419008
1621432647,69419008
1621432677,69419008
